Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM,DSP,FF,LUT,URAM,BRAM Util,DSP Util,FF Util,LUT Util,URAM Util
Opt1,3mm,Pass,63840026,63839992,63840029,213000000.0,522,16,3600,4043,0,12.95%,0.18%,0.14%,0.31%,0.00%
Opt2,3mm,Pass,8815622,8778180,8778032,29231000.0,289,22,3837,3281,0,7.17%,0.24%,0.15%,0.25%,0.00%
Opt3,3mm,Pass,1276852,319192,1276855,5981000.0,560,196,78583,60742,20,13.89%,2.17%,3.01%,4.66%,2.08%
Opt4,3mm,Pass,49092,49019,47952,225000.0,357,2507,294780,159905,30,8.85%,27.78%,11.31%,12.27%,3.12%
Opt5,3mm,Pass,49092,49019,47952,225000.0,357,2507,294780,159905,30,8.85%,27.78%,11.31%,12.27%,3.12%
Opt1,atax,Pass,1277665,1277636,799519,2662000.0,630,8,2262,2597,0,15.62%,0.09%,0.09%,0.20%,0.00%
Opt2,atax,Pass,319441,319409,159931,533000.0,5,12,2417,1986,0,0.12%,0.13%,0.09%,0.15%,0.00%
Opt3,atax,Pass,33763,8420,18155,85038.0,0,92,33080,23559,150,0.00%,1.02%,1.27%,1.81%,15.62%
Opt4,atax,Pass,2180,2105,1141,5603.0,150,1502,183301,105642,0,3.72%,16.64%,7.03%,8.10%,0.00%
Opt5,atax,Pass,2180,2105,1141,5603.0,150,1502,183301,105642,0,3.72%,16.64%,7.03%,8.10%,0.00%
